ISIN,Values
US63938CAD02,644334.4941
US29413XAD93,644158.3333
US06738C8284,643886.1785
US30251GBA40,643767
US12663QAA31,643418.8542
US80874YBC30,643079.1111
US749571AE54,643013.1944
US59151KAL26,642824.5833
US92552VAL45,642578.25
US958254AJ35,641859.1667
US747262AS23,641401.5
US146869AA09,641306.25
US983133AB53,640433.3333
US86765LAQ05,640420
US03966VAA52,640316.25
US38016LAA35,639709.5
US91739VAA61,639055.4687
US69007TAB08,638715.2778
US12513GBE89,638378.75
US33936YAA38,637489.1493
US12543DBE94,637382.0634
US75281ABA60,635897.6264
US89469AAC80,635871.1893
US024747AE77,635869.9167
US12513GBC24,635500
US74112BAK17,635118.75
US92047WAD39,634997.8333
US88023UAG67,634301.6667
US81783QAC96,633582.6389
US897051AA62,631351.1417
US858912AF50,630924.5833
US46284VAL53,630375
US45569LAA98,630200.7658
US654902AC90,629017.0139
US432891AK52,628999.9599
US171484AG30,628725
US501797AM65,628293.75
US88033GDG29,627237.5
US505742AM88,627010.4167
US103557AA23,626412.0833
US880779AZ60,626253.75
US75281AAS87,626164.0625
US827048AV11,626043.75
US73939VAA26,625518.1346
US53219LAS88,625039.25
US038522AP34,624738
US88033GDC15,622953.25
US845467AM16,622937.25
US57701RAM43,622776.9167
US857691AG41,622401.587
US747262AU78,621839.1667
US35671DCF06,621822
US87901BAB80,619751.6111
US958254AB09,619720.1246
US05545MAC64,618366.6667
US156700AM80,618290.77
US90333LAP76,618056.25
US526057BY96,617393.75
US345397ZJ59,617201.7167
US109696AA22,616939.5833
US00213MAV63,614136
US767754CK89,613125
US67091GAC78,612592.5
US674599DB86,612501.0899
US33834YAA64,611542.9688
US65342QAB86,611322.25
US63861CAA71,610300
US11283YAB65,609354.1667
US526057BN32,609162.2719
US08949LAA89,608762.5
US23311VAH06,607735.4167
US87612BAY83,606168.2438
US34540XAB91,605817.5
US747262AY90,605111.7917
US443628AG71,604700.0833
US513075BQ35,604628.5
US674599CY98,604254.1667
US62886EAJ73,603333.3333
US98212BAJ26,603012.5
US69327RAJ05,602561.8333
US056623AA98,601254.3403
US90290MAB72,601084.4167
US835898AH05,601006.25
US674599CF00,600393.2292
US674599CX16,599602.0833
US36740LAA08,597681.9444
US39807UAB26,596728.4583
US031921AA74,596195.875
US22304LAA89,593880.2083
US053773BD81,593583.3333
US031652BK50,592974.7396
US87612BAP76,592628.1696
US92343EAL65,592176.1753
US74927PAA75,590358.4067
US118230AQ44,590252.5
US03674XAC02,590168.0434
US817565CD49,589822.3681
US15135UAP49,588971.5596
US65342QAC69,588198.2639
US212015AQ46,588180.8333
US03690AAC09,586337.4653
US29362UAB08,583517.5347
US42307TAG31,581481.0456
US29336UAE73,581376.2567
US05508WAB19,581292.7083
US20341WAE57,579606.25
US785712AG56,578024.7917
US17186HAC60,578016.6667
US445587AC20,577979.1667
US184496AN71,577662.0771
US92240MBJ62,577408.125
US92343EAH53,576781.25
US680665AM82,576672.6667
US674599CL77,576422.9167
US829259AR17,575820.4375
US00774YAA73,575718.75
US030981AL88,575327.0833
US893647BH98,573489.5833
US037411BC83,571501.753
US92933BAQ77,571445.0174
US12008RAN70,571006.9444
US03690AAD81,570159.9583
US12662PAB40,569967.5
US23131LAA52,569869.275
US87612BAM46,569800.109
US65158NAB82,569490.9764
US00130HBW43,568918.0909
US726503AE55,567936.1111
US552704AC21,567128.6667
US75606DAJ00,565892.7083
US87952VAM81,565728.4722
US03938LAZ76,564932.4583
US380355AD93,564305.7292
US364760AL21,563171.875
US588056AY72,562252.043
US70959WAE30,561653.125
US552676AQ11,561083.3333
US12508EAD31,560902.7778
US20341WAA36,560816.6667
US18911YAA38,560549.5313
US983793AF76,560418.0729
US48088LAA52,560372.6278
US85205TAK60,560346.1111
US00191UAA07,560256.6597
US92553PBD33,560190.3667
US23422RAA05,560157.5
US428104AA14,559554.3403
US53627NAC56,558989.0625
US626717AH56,558755.1597
US904311AA54,558079.1667
US513272AC82,557645.8333
US457030AJ39,556918.0903
US431318AS36,556562.5
US075896AC47,556105.125
US17027NAA00,555947.9167
US91832VAA26,555281.25
US156700AT34,554821.4822
US750236AX98,554365.3646
US398905AK59,554354.1667
US071734AC18,554322.3611
US92676XAD93,553909.0104
US75281ABC27,553485.7778
US75079RAC25,553334.375
US12508EAJ01,553212.9167
US131477AT87,552184.7222
US958254AD64,552127.5
US538034AK54,551586.7188
US780153AU63,551489.7917
US389375AK26,550416.9271
US55354GAF72,549989.6528
US87724RAA05,549758.6806
US530715AJ01,549658.1318
US019736AF46,549651.0417
US600814AP20,549477.4306
US82873LAA35,549392.7083
US67059TAE55,549374.375
US18060TAA34,549360
US526057BV57,548826.3889
US575385AD19,548213.5417
US87264AAT25,547689.2361
US55616XAH08,547259.4178
US81211KAK60,546742.1875
US513075BE05,546557.7833
US013822AC54,545805.0694
US03690AAF30,545724.6528
US095370AD49,545450.5556
US013822AB71,545222.2222
US68245XAK54,545219.5833
US75606DAG60,544757.8125
US912909AM02,544596.3542
US00130HBY09,544213.5417
US90320LAG23,544087.5694
US01741RAF91,543973.125
US62886EAV02,543755.2083
US20451NAG60,542843.75
US125581GW24,542635.4167
US397624AH07,542020.8333
US897051AB46,541739.1667
US245223AC65,541664.9306
US651229BB19,541647.9167
US26885BAE02,541280.9722
US879369AF39,540939.2361
US67020YAQ35,540859.375
US45031UCG40,540752.2083
US415864AM90,540465.2778
US96926JAC18,540390.625
US156700AZ93,540390.625
US432833AH41,540246.5278
US237266AH40,539755.4167
US07335BAA44,539323.2368
US159864AC13,538937.5
US12674TAB26,538824.1667
US55342UAG94,537906.25
US01551UAC80,537535.5556
US864486AH86,537446.875
US12508EAG61,537258.6806
US63938CAE84,537235.4167
US654902AE56,537170.1389
US53079EAN40,537133.5453
US626738AE88,536274.3056
US00130HBX26,536268.3333
US88033GCW87,535588.3333
US55354GAD25,535422.0833
US64110LAY20,535066.25
US00973RAC79,534944.4722
US941130AB21,534861.1111
US96926JAE73,534631.9444
US36168QAF19,534310.7639
US159864AE78,533985.4167
US501797AU81,533958.3333
US57164PAG19,533880.2083
US451102BM88,533816.0213
US81725WAG87,533733.9583
US879369AG12,533600.6944
US14879EAE86,533402.7778
US82660CAA09,533383.5938
US226373AQ18,532370.25
US085770AB14,532265.625
US70137TAL98,532250
US29266RAC25,532177.7778
US449253AB91,532034.7222
US55303XAB10,531687.5
US91337CAA45,531557.2917
US26151AAA79,531390.2083
US210383AG04,530800.3472
US69370CAC47,530771.6667
US88104LAC72,530391.9444
US29373TAA25,529855.0347
US03674XAF33,529804.6875
US037411BF15,529773.611
US432833AG67,529741.3194
US626717AJ13,529693.436
US04624VAA70,529597.2222
US30251GAY35,529467.0139
US125581GY89,529437.5
US70137TAP03,529290.7639
US55342UAF12,529265.625
US47010LAB80,528414.5139
US87612BBE11,528213.5417
US70959WAG87,528176.3889
US05454NAA72,527836.8056
US05453GAA31,527031.4583
US62886EAU29,526739.5833
US98953GAD79,526400.3472
US156504AL63,526338.4142
US87612BBB71,525878.9583
US65342QAL68,525543.4028
US674599DE26,525435.3065
US28414HAF01,524777.25
US08576PAA93,524702.5
US600814AM98,524688.3333
US14180LAA44,524125
US87264AAR68,524077.2222
US858577AR03,524057.5833
US343412AF90,523920.8333
US77340RAR84,523648.125
US96950GAB86,523627.9514
US03938LAS34,523561.9926
US65410CAC47,523551.6667
US29260FAD24,522687.2222
US457153AG90,522360.3611
US03959KAA88,522316.875
US78573NAA00,522250.5903
US418751AA11,522197.9167
US654902AD73,522156.25
US422704AH97,522129.8958
US7846ELAC16,521555.2083
US600814AN71,520925.3472
US94107JAA16,520576.3889
US50077LAW63,520574.125
US05409QAA67,520328.125
US36168QAJ31,519628.4722
US40010PAA66,519562.5
US747262AH67,519179.9054
